"V30","V41","Class"
65,77,"1"
70,66,"1"
67,54,"1"
70,72,"1"
66,73,"1"
73,71,"1"
55,45,"1"
64,74,"1"
21,16,"1"
67,73,"1"
71,59,"1"
41,43,"1"
53,60,"1"
49,56,"1"
68,71,"1"
29,12,"1"
69,66,"1"
69,68,"1"
57,48,"1"
59,52,"1"
58,63,"1"
54,47,"1"
53,43,"1"
61,74,"1"
64,67,"1"
59,50,"1"
41,69,"1"
65,67,"1"
65,73,"1"
61,70,"1"
71,66,"1"
62,75,"1"
20,35,"1"
66,70,"1"
68,75,"1"
54,71,"1"
69,64,"1"
38,55,"1"
23,13,"1"
45,39,"1"
13,6,"1"
76,73,"1"
67,63,"1"
56,57,"1"
58,51,"1"
59,70,"1"
60,74,"1"
61,61,"1"
67,63,"1"
64,70,"1"
57,76,"1"
31,35,"1"
62,67,"1"
68,62,"1"
67,69,"1"
63,81,"1"
44,57,"1"
64,73,"1"
64,73,"1"
71,64,"1"
67,66,"1"
62,74,"1"
69,77,"1"
67,58,"1"
70,75,"1"
39,47,"1"
68,64,"1"
48,47,"1"
69,62,"1"
55,62,"1"
57,59,"1"
62,69,"1"
68,70,"1"
29,28,"1"
62,77,"1"
61,65,"1"
68,59,"1"
72,63,"1"
67,64,"1"
57,62,"1"
58,61,"1"
61,67,"1"
42,52,"1"
65,64,"1"
51,40,"1"
35,12,"1"
47,57,"1"
38,58,"1"
66,67,"1"
70,61,"1"
65,65,"1"
36,44,"1"
65,68,"1"
75,63,"1"
71,76,"1"
62,58,"1"
63,68,"1"
58,49,"1"
69,51,"1"
63,62,"1"
63,78,"1"
71,71,"1"
65,77,"1"
66,60,"1"
62,47,"1"
70,66,"1"
71,75,"1"
61,77,"1"
65,80,"1"
73,75,"1"
69,71,"1"
69,59,"1"
58,71,"1"
64,64,"1"
71,68,"1"
71,75,"1"
67,67,"1"
79,68,"1"
65,68,"1"
67,76,"1"
71,69,"1"
64,77,"1"
72,70,"1"
64,70,"1"
65,73,"1"
58,58,"1"
65,57,"1"
73,75,"1"
67,76,"1"
47,62,"1"
46,52,"1"
65,66,"1"
64,68,"1"
42,54,"1"
67,61,"1"
61,59,"1"
28,39,"1"
51,46,"1"
66,61,"1"
39,59,"1"
59,58,"1"
22,22,"1"
71,66,"1"
59,69,"1"
52,48,"1"
68,76,"1"
38,48,"1"
37,43,"1"
63,74,"1"
60,69,"1"
65,66,"1"
68,70,"1"
73,66,"1"
67,71,"1"
67,65,"1"
63,72,"1"
67,67,"1"
53,31,"1"
48,39,"1"
69,53,"1"
55,65,"1"
65,69,"1"
65,65,"1"
46,66,"1"
73,66,"1"
65,73,"1"
67,71,"1"
64,49,"1"
69,61,"1"
72,59,"1"
65,65,"1"
60,66,"1"
66,65,"0"
59,75,"0"
66,62,"0"
62,72,"0"
42,73,"0"
66,66,"0"
62,64,"0"
66,73,"0"
70,76,"0"
71,71,"0"
74,68,"0"
69,68,"0"
68,75,"0"
64,78,"0"
67,72,"0"
